label,mq60frac,mq60err,mq50frac,mq50err,mq00frac,mq00err
MSR~F~,0.930 -1%,1.09e-03 -41%,0.938 -0%,1.29e-03 -30%,**1.000 -0%**,1.51e-02 +4%
**Whole human genome - winnowmap (n=655594)**,.,.,.,.,.,.
HPC,0.894 +0%,1.43e-03 +0%,0.902 +0%,1.49e-03 +0%,0.988 +0%,1.92e-02 +0%
raw,**0.932 +4%**,1.75e-03 +23%,**0.937 +4%**,1.79e-03 +20%,**0.994 +1%**,**1.43e-02 -26%**
MSR~F~,0.874 -2%,2.81e-04 -80%,0.886 -2%,3.82e-04 -74%,0.984 -0%,1.94e-02 +1%
MSR~E~,0.795 -11%,**6.33e-05 -96%**,0.820 -9%,**8.93e-05 -94%**,0.971 -2%,2.08e-02 +9%
MSR~P~,0.826 -8%,8.68e-05 -94%,0.845 -6%,1.14e-04 -92%,0.975 -1%,2.11e-02 +10%
**Whole Human genome (repeated regions) - minimap (n=68811)**,.,.,.,.,.,.
HPC,**0.619 +0%**,3.29e-04 +0%,0.656 +0%,3.10e-04 +0%,**0.998 +0%**,7.79e-02 +0%
raw,0.514 -17%,1.98e-04 -40%,0.539 -18%,2.16e-04 -30%,0.981 -2%,**6.69e-02 -14%**
MSR~F~,0.601 -3%,2.18e-04 -34%,0.640 -2%,2.27e-04 -27%,**0.998 -0%**,8.15e-02 +5%
MSR~E~,0.618 -0%,1.41e-04 -57%,**0.658 +0%**,**1.55e-04 -50%**,0.997 -0%,8.23e-02 +6%
MSR~P~,0.616 -1%,**1.18e-04 -64%**,0.656 +0%,1.99e-04 -36%,0.997 -0%,8.31e-02 +7%
**Whole Human genome (repeated regions) - winnowmap (n=68811)**,.,.,.,.,.,.
HPC,0.525 +0%,1.24e-03 +0%,0.557 +0%,1.49e-03 +0%,0.950 +0%,1.19e-01 +0%
raw,**0.648 +23%**,1.26e-03 +1%,**0.672 +21%**,1.49e-03 +0%,**0.968 +2%**,**8.09e-02 -32%**
MSR~F~,0.482 -8%,**1.63e-03 +31%**,0.516 -7%,1.83e-03 +23%,0.940 -1%,1.21e-01 +2%
MSR~E~,0.366 -30%,6.35e-04 -49%,0.405 -27%,**9.32e-04 -37%**,0.911 -4%,1.38e-01 +17%
MSR~P~,0.415 -21%,9.45e-04 -24%,0.451 -19%,1.16e-03 -22%,0.920 -3%,1.39e-01 +17%
